,floor,szhil,skitchen,roof_heigh,rooms,plan,sanuzel,balcon,type_remont,type_build,vtor_perv,price_meter,price_object,xlon,ylat,Tashkent,min_eucl
9168,5,52.0,0.0,0.0,2.0,Смежная,Совмещенный,0.0,Средний,Кирпичный,Вторичный рынок,730.77,38000.0,69.24348,41.28218,True,0.02241700577686989
9169,4,55.0,0.0,0.0,2.0,,Совмещенный,0.0,Авторский проект,,Новостройки,1180.0,64900.0,69.29648,41.27485,True,0.02013739546217117
9170,8,151.0,0.0,3.2,4.0,Раздельная,2 санузла и более,1.0,Евроремонт,Кирпичный,Новостройки,2450.33,370000.0,69.29648,41.27485,True,0.02013739546217117
9171,4,70.0,5.0,0.0,3.0,Смежно-раздельная,Раздельный,1.0,Евроремонт,Кирпичный,Вторичный рынок,670.0,46900.0,69.2243047,41.2831156,True,0.008964243696486685
9172,4,95.0,0.0,0.0,4.0,Раздельная,Раздельный,0.0,Авторский проект,Кирпичный,Вторичный рынок,505.26,48000.0,69.21923496,41.28162264,True,0.0067974315245662815
9173,4,62.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Средний,Кирпичный,Вторичный рынок,733.87,45500.0,69.27937,41.2826,True,0.011700585284507316
9174,4,42.0,0.0,0.0,2.0,Смежная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,738.1,31000.0,69.27937,41.2826,True,0.011700585284507316
9175,4,45.0,0.0,0.0,2.0,,Раздельный,1.0,Евроремонт,,Вторичный рынок,811.11,36500.0,69.27937,41.2826,True,0.011700585284507316
9176,4,30.0,0.0,0.0,1.0,,,0.0,,,Вторичный рынок,916.67,27500.0,69.20716602,41.26543928,True,0.009425549834291834
9177,4,209.0,0.0,0.0,5.0,Раздельная,Раздельный,1.0,Евроремонт,Кирпичный,Вторичный рынок,479.74,100266.0,69.20692999,41.26871488,True,0.006230093167402998
9178,4,30.0,0.0,0.0,1.0,,Совмещенный,0.0,Евроремонт,Кирпичный,Вторичный рынок,966.67,29000.0,69.20438,41.269870000000004,True,0.004690757934486118
9179,4,85.0,0.0,2.7,4.0,Смежно-раздельная,Раздельный,0.0,Авторский проект,Кирпичный,Вторичный рынок,482.35,41000.0,69.34586999999999,41.33612,True,0.020572223433542192
9180,4,34.0,0.0,0.0,1.0,,Раздельный,0.0,,,Вторичный рынок,705.85,23999.0,69.20692999,41.26871488,True,0.006230093167402998
9181,12,55.0,0.0,0.0,2.0,Раздельная,,0.0,,,Новостройки,563.64,31000.0,69.27937,41.2826,True,0.011700585284507316
9182,5,80.0,0.0,2.85,3.0,Раздельная,Раздельный,1.0,Евроремонт,,Вторичный рынок,787.5,63000.0,69.20438,41.269870000000004,True,0.004690757934486118
9183,4,30.0,0.0,0.0,1.0,,,0.0,,,Вторичный рынок,893.33,26800.0,69.21042524,41.27038437,True,0.007047042915613642
9184,4,65.0,0.0,0.0,3.0,,Раздельный,1.0,Евроремонт,,Вторичный рынок,584.62,38000.0,69.27937,41.2826,True,0.011700585284507316
9185,4,85.0,0.0,0.0,2.0,,,0.0,Евроремонт,Кирпичный,Вторичный рынок,917.65,78000.0,69.34586999999999,41.33612,True,0.020572223433542192
9186,4,48.0,0.0,0.0,2.0,Раздельная,,1.0,Требует ремонта,Кирпичный,Вторичный рынок,493.75,23700.0,69.27937,41.2826,True,0.011700585284507316
9187,4,90.0,0.0,0.0,4.0,,Раздельный,0.0,Требует ремонта,Кирпичный,Вторичный рынок,627.78,56500.0,69.34586999999999,41.33612,True,0.020572223433542192
9188,4,90.0,0.0,0.0,4.0,,,0.0,Требует ремонта,,Вторичный рынок,933.33,84000.0,69.29648,41.27485,True,0.02013739546217117
9189,4,75.0,0.0,0.0,3.0,,,1.0,,Кирпичный,Вторичный рынок,953.33,71500.0,69.27789655,41.32695848,True,0.0058752267592754835
9191,4,34.0,0.0,0.0,1.0,,,0.0,,,Вторичный рынок,673.5,22899.0,69.21723370000001,41.28091667,True,0.004920442748269896
9193,4,35.0,0.0,0.0,1.0,,,0.0,,Кирпичный,Новостройки,714.29,25000.0,69.27701591,41.36127711,True,0.013430818724861534
9194,4,48.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,666.67,32000.0,69.20109048,41.27437232,True,0.0036526991790716665
9195,8,53.0,14.0,3.0,1.0,Раздельная,Раздельный,0.0,,Кирпичный,Новостройки,8.32,441.0,69.29648,41.27485,True,0.02013739546217117
9196,4,67.0,0.0,0.0,3.0,Раздельная,Совмещенный,0.0,Средний,,Вторичный рынок,514.93,34500.0,69.20438,41.269870000000004,True,0.004690757934486118
